Secao,Titulo,Descrição,Data
mercado-digital,Campanhas antivacinas nos EUA deram remuneração e projeção a quem as promoveu,"Um grupo antivacina fundado pelo candidato presidencial americano Robert Kennedy Jr. recebeu milhões de dólares compartilhando informações falsas durante a pandemia de coronavírus, revelou uma análise dos registros fiscais públicos realizado pelo site de...",16/04/24 - 19:05min
mercado-digital,"Após provocações de Musk, X diz que cumprirá ordens do STF","A representação no Brasil da rede social X comprometeu-se a cumprir as ordens do Supremo Tribunal Federal (STF), depois que seu proprietário, Elon Musk, ameaçou desobedecer o ministro Alexandre de Moraes, segundo um documento...",16/04/24 - 17:00min
mercado-digital,Rio se torna capital tecnológica mundial com Web Summit,"Os impactos da Inteligência Artificial (IA) ou o papel da tecnologia nos direitos humanos e na mudança climática serão debatidos a partir desta terça-feira (16), no Web Summit, um dos maiores eventos tecnológicos do...",16/04/24 - 12:49min
mercado-digital,Nasa confirma que pedaço de estação espacial caiu em casa nos EUA,"Um objeto que caiu do céu e se chocou contra a casa de um americano foi confirmado como um fragmento de metal ejetado da Estação Espacial Internacional (ISS, na sigla em inglês), informou a...",15/04/24 - 19:02min
mercado-digital,"OpenAI, criadora do ChatGPT, abre primeiro escritório na Ásia","A OpenAI, empresa americana especializada em inteligência artificial e criadora do ChatGPT, abriu nesta segunda-feira um escritório em Tóquio, o primeiro no continente asiático. “Nos comprometemos a trabalhar junto ao governo japonês, às empresas...",15/04/24 - 7:40min
mercado-digital,Franco-canadense ganha ‘Oscar da Ciência’ por tratamento contra câncer,O cientista franco-canadense Michel Sadelain recebeu no sábado (13) o “Oscar da Ciência” em Los Angeles por sua pesquisa sobre a modificação genética de células do sistema imunológico para combater o câncer. O engenheiro...,14/04/24 - 11:07min
mercado-digital,Estudo indica que bonobos são mais agressivos do que se pensava,"Os bonobos têm fama de serem mais pacíficos do que os chimpanzés, mas isso não é 100% correto. Segundo um estudo publicado nesta sexta-feira (12) na revista científica Current Biology, os bonobos macho brigam...",12/04/24 - 20:11min
mercado-digital,Apple promete corrigir erro que sugere emoji da bandeira palestina,A gigante da tecnologia americana Apple prometeu nesta quinta-feira (11) evitar que um emoji da bandeira palestina seja sugerido para alguns usuários do iPhone quando eles digitam “Jerusalém” em suas mensagens. A empresa atribuiu...,11/04/24 - 19:24min
mercado-digital,CEO da Amazon destaca potencial da IA: ‘maior transformação tecnológica desde a nuvem’,"O CEO da Amazon, Andy Jassy disse, em sua carta anual aos acionistas, que a inteligência artificial (IA) generativa é o próximo pilar de crescimento da empresa, depois do Marketplace, do Prime e de...",11/04/24 - 8:38min
mercado-digital,"IA na guerra, um avanço de controle humano duvidoso","A Inteligência Artificial (IA) se estabeleceu como ferramenta nas guerras modernas, mas suscita imensa preocupação pelo risco da escalada que apresenta, sobretudo, pela questão de saber até que ponto os seres humanos realmente a...",10/04/24 - 9:19min
mercado-digital,Cinco pontos sobre a queda de braço entre Musk e Alexandre de Moraes,"Elon Musk é alvo de uma investigação no Brasil depois de acusar o ministro Alexandre de Moraes, do Supremo Tribunal Federal (STF), de censurar a plataforma X, de chamar o magistrado de “ditador” e...",10/04/24 - 8:51min
mercado-digital,"Microsoft investirá US$ 2,9 bilhões em IA no Japão","A Microsoft anunciou um investimento de 2,9 bilhões de dólares nos próximos dois anos no Japão para estimular o setor de Inteligência Artificial (IA) e fortalecer as defesas cibernéticas contra ameaças da China e...",10/04/24 - 1:35min
mercado-digital,Ubisoft revela data de lançamento do aguardado Star Wars Outlaws,"O aguardado jogo Star Wars Outlaws, inspirado na saga “Star Wars”, de George Lucas, será lançado em 30 de agosto, anunciou a Ubisoft nesta terça-feira (9). Desenvolvido em colaboração com a LucasFilm, Star Wars...",09/04/24 - 17:35min
mercado-digital,"Morre, aos 94 anos, o físico Peter Higgs, ganhador do Prêmio Nobel","O cientista britânico Peter Higgs, ganhador do Prêmio Nobel de Física em 2013 por seus trabalhos teóricos sobre o bóson de Higgs, conhecido como a “partícula de Deus” e considerado a chave da estrutura...",09/04/24 - 15:26min
mercado-digital,"Verificadores de todo o mundo enfrentam ameaças, assédio e falta de financiamento","Da Índia à Coreia do Sul, da Croácia à Macedônia do Norte, as organizações de verificação de conteúdos, além de combaterem a desinformação crescente em um ano importante com várias eleições em jogo, enfrentam...",09/04/24 - 11:17min
mercado-digital,Tesla chega a acordo em processo por acidente fatal envolvendo seu piloto automático,A Tesla chegou a um acordo com a família de um engenheiro que faleceu há seis anos quando um dos seus veículos elétricos Model X sofreu um acidente enquanto usava o sistema de assistência...,08/04/24 - 23:08min
mercado-digital,Google avalia cobrar por buscas com sua inteligência artificial generativa,"O Google está avaliando cobrar pelas pesquisas realizadas em seu mecanismo de busca que façam uso de inteligência artificial, segundo o Financial Times. Se for concretizado, o plano seria um desvio do modelo de...",08/04/24 - 17:39min
mercado-digital,"Prejuízo, perda de valor, menos usuários: os números do Twitter após a compra por Musk","A plataforma vive momento de queda, após mais de um ano da formalização de sua aquisição",08/04/24 - 15:36min
mercado-digital,Escanear a íris em troca de criptomoedas em uma Argentina em crise econômica,"Em um centro comercial de Buenos Aires, Juan Sosa para em frente a uma “esfera” da empresa Worldcoin para escanear a íris de seus olhos em troca de criptomoedas, como já fizeram centenas de...",08/04/24 - 10:50min
mercado-digital,Milhões de pessoas se reúnem para assistir ao eclipse total na América do Norte,"Um eclipse total que será visível nesta segunda-feira(8) começando no México, passando pelos Estados Unidos e terminando no Canadá, atrai a atenção de milhões de pessoas, que veem neste fenômeno celeste uma oportunidade científica,...",08/04/24 - 8:51min
mercado-digital,Eclipse solar: um perigo para os olhos,"Um simples olhar para um eclipse solar, como o que será visto na segunda-feira (8) em grande parte da América do Norte, pode causar uma perda irreparável da visão, alertam especialistas em saúde ocular....",07/04/24 - 16:19min
mercado-digital,Denúncia de uso da IA por Israel em Gaza preocupa chefe da ONU,"Dois veículos de comunicação de Israel acusaram o país de usar a inteligência artificial (IA) para identificar e atacar alvos na Faixa de Gaza, deixando um grande número de vítimas civis, o que levou...",05/04/24 - 18:05min
mercado-digital,Meta identificará conteúdos gerados por IA,"O gigante americano Meta, empresa matriz do Facebook, Instagram e Threads, anunciou nesta sexta-feira (5) que identificará qualquer conteúdo de imagem ou áudio gerado por inteligência artificial (IA) para reforçar a luta contra a...",05/04/24 - 14:02min
mercado-digital,‘Influenciadores’ virtuais mais reais que os humanos: a nova aposta da IA,"A onda de inteligência artificial (IA) que inunda o setor digital está mudando o mundo dos ‘influenciadores’, que podem acabar sendo vítimas de seus novos concorrentes virtuais, ao tentarem se beneficiar da tecnologia. Com...",05/04/24 - 10:31min
mercado-digital,X devolve selo azul a contas com muitos seguidores,"Os usuários com muitos seguidores vão ganhar uma assinatura gratuita do X e o famoso selo azul da plataforma, anunciou a empresa, em uma nova mudança da sua política. Antes de Elon Musk se...",04/04/24 - 19:15min
mercado-digital,A urina humana é testada como alternativa para criar fertilizantes no Chile,"Duas vezes por ano, os colaboradores da cientista chilena Dafne Crutchik fazem um pedido incomum aos amigos e familiares: doação de urina. O fluido é essencial para a extração do fósforo, um mineral escasso...",04/04/24 - 14:08min
mercado-digital,Velocidade de expansão do Universo pode estar desacelerando,"O Universo continua se expandindo, mas este fenômeno pode estar desacelerando, segundo os primeiros resultados de uma pesquisa astronômica internacional. Os primeiros sinais desta descoberta foram identificados pelo Instrumento de Espectroscopia da Energia Escura...",04/04/24 - 13:08min
mercado-digital,"Remédio contra diabetes protege de Parkinson, diz estudo","Um medicamento para diabetes reduz a progressão dos problemas motores associados à Doença de Parkinson, segundo um estudo publicado nesta quarta-feira (3) no New England Journal of Medicine. A enfermidade é um transtorno do...",03/04/24 - 20:31min
mercado-digital,Apple explora fabricação de robôs pessoais (imprensa),"Engenheiros da Apple trabalham na fabricação de robôs pessoais, segundo informações divulgadas nesta quarta-feira (3), semanas depois que a fabricante do iPhone abandonou seus esforços para desenvolver um carro elétrico. A gigante americana da...",03/04/24 - 19:57min
mercado-digital,EUA culpa Microsoft por ‘série de erros’ em ataque cibernético chinês,Um duro relatório do governo americano descobriu que uma invasão nos servidores da Microsoft por parte de um grupo de hackers chineses ocorreu por uma “série de erros evitáveis” por parte do gigante tecnológico...,03/04/24 - 13:28min
mercado-digital,IA ressuscita políticos em campanha eleitoral na Índia,"A Inteligência Artificial (IA) invadiu a campanha eleitoral nacional na Índia este mês, ressuscitando políticos já falecidos ou expondo candidatos em vídeos manipulados digitalmente. O exemplo mais notável é o de Tamil Nadu, estado...",03/04/24 - 9:44min
mercado-digital,Artistas pedem proteção contra inteligência artificial nos EUA,"Centenas de artistas e compositores americanos, entre eles os gigantes da música Smokey Robinson e Stevie Wonder, a banda Pearl Jam e a cantora Billie Eilish, pediram a proteção da criatividade humana contra o...",02/04/24 - 19:05min
